order_id,order_date,product_id,quantity_ordered
1,2024-06-20 17:20:53.963224,41,3
2,2024-06-23 17:20:53.963224,50,9
3,2024-06-14 17:20:53.963224,87,3
4,2024-06-16 17:20:53.963224,71,7
5,2024-06-19 17:20:53.963224,59,4
6,2024-06-14 17:20:53.963224,39,8
7,2024-06-22 17:20:53.963224,3,2
8,2024-06-20 17:20:53.963224,76,8
9,2024-06-17 17:20:53.963224,7,9
10,2024-06-24 17:20:53.963224,49,8
11,2024-06-20 17:20:53.963224,26,6
12,2024-06-16 17:20:53.963224,33,1
13,2024-06-16 17:20:53.963224,48,7
14,2024-06-19 17:20:53.963224,79,1
15,2024-06-22 17:20:53.963224,2,7
16,2024-06-23 17:20:53.963224,71,2
17,2024-06-19 17:20:53.963224,32,8
18,2024-06-19 17:20:53.963224,4,2
19,2024-06-24 17:20:53.963224,20,3
20,2024-06-21 17:20:53.963224,36,3
21,2024-06-22 17:20:53.963224,32,1
22,2024-06-25 17:20:53.963224,28,5
23,2024-06-19 17:20:53.963224,77,5
24,2024-06-15 17:20:53.963224,1,5
25,2024-06-13 17:20:53.963224,60,9
26,2024-06-21 17:20:53.963224,56,6
27,2024-06-25 17:20:53.963224,35,6
28,2024-06-15 17:20:53.963224,30,3
29,2024-06-22 17:20:53.963224,54,5
30,2024-06-26 17:20:53.963224,36,7
31,2024-06-15 17:20:53.963224,55,3
32,2024-06-17 17:20:53.963224,89,2
33,2024-06-21 17:20:53.963224,80,5
34,2024-06-14 17:20:53.963224,58,3
35,2024-06-15 17:20:53.963224,83,5
36,2024-06-18 17:20:53.963224,65,9
37,2024-06-26 17:20:53.963224,69,1
38,2024-06-16 17:20:53.963224,51,4
39,2024-06-16 17:20:53.963224,22,5
40,2024-06-17 17:20:53.963224,88,2
41,2024-06-15 17:20:53.963224,53,2
42,2024-06-15 17:20:53.963224,100,1
43,2024-06-13 17:20:53.963224,36,8
44,2024-06-13 17:20:53.963224,68,2
45,2024-06-13 17:20:53.963224,36,3
46,2024-06-24 17:20:53.963224,52,2
